"SID","StudySiteID","Location","Province","YearFrom","Year","Month","TEMPc","AHc","pred.AAP","cumAAP","Epi"
"D1212","D1212_1",NA,"Hong Kong",2017,2017,1,-5.14666106937693,-5.15594422530212,5.64239967662091,88.7035909093186,FALSE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,2,-6.9279168297456,-7.01521862422289,3.67679060945963,97.4773234328635,FALSE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,3,-5.9635965532479,-5.64615251966276,5.09694191408524,93.8005328234038,FALSE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,4,-2.25094063926941,-2.06370700709189,10.8166395278513,48.0088814349429,TRUE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,5,1.05075828546177,1.52202459427135,13.565675305493,13.565675305493,TRUE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,6,3.85789269406393,4.41443810653215,11.6464264936235,37.1922419070916,TRUE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,7,4.42785505965532,5.86504577102147,11.9801401079751,25.5458154134681,TRUE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,8,5.6405969951392,6.34367583561031,8.69872677599209,67.0370088016182,FALSE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,9,4.98789269406393,5.57460705038547,10.3294005906832,58.3382820256261,TRUE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,10,4.81656473707468,4.45492508585056,8.57887968720809,75.6158884888263,FALSE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,11,-0.186940639269408,-2.84713709253944,7.4453027438714,83.0611912326977,FALSE
"D1212","D1212_1",NA,"Hong Kong",2017,2017,12,-4.76924171453822,-5.96163616244519,2.52267656713656,100,FALSE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,1,-7.10375933678863,-7.84752496435877,1.48091064137668,100,FALSE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,2,-9.16151279300983,-7.98000796693642,10.623733864693,33.380542597677,TRUE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,3,-4.46343675614347,-3.74512418666138,9.19702896323576,42.5775715609127,TRUE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,4,-1.59889374539078,-2.731119234614,8.4884111849493,77.0410198889599,FALSE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,5,1.96769227611459,2.25622488740775,11.6792445780249,11.6792445780249,TRUE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,6,5.61860625460922,4.88577242617771,6.9890892719941,91.6163108751227,FALSE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,7,5.19301485675975,6.39381473623124,8.76380589954978,51.3413774604625,TRUE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,8,5.2043051793404,6.44679178534001,8.70913412786832,60.0505115883308,TRUE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,9,4.30460625460922,5.62625706046642,11.077564154959,22.7568087329839,TRUE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,10,2.48367239657595,1.2364506372228,7.58620171416876,84.6272216031286,FALSE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,11,0.661106254609216,-1.36631656559826,6.9027784835006,98.5190893586233,FALSE
"D1212","D1212_1",NA,"Hong Kong",2018,2018,12,-3.70214643356283,-3.74055507320539,8.50209711567974,68.5526087040106,FALSE
"D1212","D1212_1",NA,"Hong Kong",2019,2019,1,-6.32214862277213,-5.70494088025201,5.4811626477052,90.1079698955531,FALSE
"D1212","D1212_1",NA,"Hong Kong",2019,2019,2,-5.19144585779517,-5.56125863828074,3.77380915515862,99.3048069235663,FALSE
"D1212","D1212_1",NA,"Hong Kong",2019,2019,3,-4.39940668728826,-3.69164243728295,9.75514681430661,68.5487924734817,FALSE
"D1212","D1212_1",NA,"Hong Kong",2019,2019,4,-1.23037442922375,-0.677693650121319,9.93275242874695,48.8960869215588,TRUE
"D1212","D1212_1",NA,"Hong Kong",2019,2019,5,0.827044925614964,1.6761340894906,13.9415040926414,13.9415040926414,TRUE
"D1212","D1212_1",NA,"Hong Kong",2019,2019,6,3.12751445966514,4.52130372075114,13.7241723932895,27.6656764859309,TRUE
"D1212","D1212_1",NA,"Hong Kong",2019,2019,7,5.09478686109884,6.45260586926387,9.39384462655551,77.9426371000372,FALSE
