"Province","YEARMODA","DaySeq","TEMP","AH"
"Hainan",2019-01-01,1,18.5,14.2092774432076
"Hainan",2019-01-02,2,18.9222222222222,14.7841076033832
"Hainan",2019-01-03,3,20.33,16.0662051065369
"Hainan",2019-01-04,4,22.8111111111111,18.4006032569881
"Hainan",2019-01-05,5,23.4333333333333,18.8114542154591
"Hainan",2019-01-06,6,23.4333333333333,17.96239897003
"Hainan",2019-01-07,7,24.0555555555556,18.3099677239506
"Hainan",2019-01-08,8,23.9555555555556,17.9517283855199
"Hainan",2019-01-09,9,23.55,17.8697605364803
"Hainan",2019-01-10,10,24.1555555555556,18.8831936390435
"Hainan",2019-01-11,11,24.2444444444444,18.7230111499436
"Hainan",2019-01-12,12,23.7777777777778,18.0351707526269
"Hainan",2019-01-13,13,23.8444444444444,17.3067141719316
"Hainan",2019-01-14,14,23.9555555555556,17.324417036494
"Hainan",2019-01-15,15,22.95,16.2399321342215
"Hainan",2019-01-16,16,21.5666666666667,15.5721176644456
"Hainan",2019-01-17,17,20.8,14.1793285584451
"Hainan",2019-01-18,18,22.4222222222222,15.6034919876412
"Hainan",2019-01-19,19,23.5777777777778,17.0554469842137
"Hainan",2019-01-20,20,23.4555555555556,17.2200060996902
"Hainan",2019-01-21,21,20.9111111111111,14.7244702760734
"Hainan",2019-01-22,22,19.175,12.4578394392633
"Hainan",2019-01-23,23,20.2625,12.4366402157974
"Hainan",2019-01-24,24,21.0625,13.4187423978396
"Hainan",2019-01-25,25,21.7375,14.6416260132408
"Hainan",2019-01-26,26,21.55,13.0928590615161
"Hainan",2019-01-27,27,21.4375,14.4155458933655
"Hainan",2019-01-28,28,22.7,15.9076858627184
"Hainan",2019-01-29,29,23.0777777777778,15.438567828111
"Hainan",2019-01-30,30,23.2444444444444,15.6050319120826
"Hainan",2019-01-31,31,22.8,15.7753051983346
"Hainan",2019-02-01,32,22.9555555555556,15.6285652820976
"Hainan",2019-02-02,33,23.3888888888889,17.0738643278316
"Hainan",2019-02-03,34,24.5444444444444,18.3900645104882
"Hainan",2019-02-04,35,24.6222222222222,18.5634592655118
"Hainan",2019-02-05,36,24.4444444444444,18.1519233444319
"Hainan",2019-02-06,37,24.7,17.5567603722798
"Hainan",2019-02-07,38,25.4444444444444,18.5087342356406
"Hainan",2019-02-08,39,25.3888888888889,18.5595251617084
"Hainan",2019-02-09,40,25.4,18.6682833174022
"Hainan",2019-02-10,41,25,18.3348221641546
